first_name,surname,id_number,email_address,institution,department,checklist_rm1_week_1_progress_tracker_real,checklist_rm1_week_2_progress_tracker_real,checklist_rm1_week_3_progress_tracker_real,checklist_rm1_week_4_progress_tracker_real,checklist_rm1_week_5_progress_tracker_real,checklist_rm1_week_7_progress_tracker_real,checklist_rm1_week_8_progress_tracker_real,checklist_rm1_week_9_progress_tracker_real,checklist_rm1_week_10_progress_tracker_real,last_downloaded_from_this_course
Chrystal,Olly-James,236202,236202@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,66.67,NA,NA,NA,1682498158
Karra,Summa,268716,268716@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Frankie,Tzivia,272061,272061@university.ac.uk,40000000,College of Social Sciences,44.44,55.56,0,NA,0,NA,NA,NA,NA,1682498158
Bryan,Mariam,275224,275224@university.ac.uk,40000000,College of Social Sciences,100,100,100,83.33,NA,50,NA,NA,NA,1682498158
Maggi,Zubair,232246,232246@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Harnek,Jenan,292336,292336@university.ac.uk,40000000,College of Social Sciences,100,100,83.33,83.33,NA,16.67,NA,NA,NA,1682498158
Rahmah,Celina,217335,217335@university.ac.uk,40000000,College of Social Sciences,100,55.56,NA,NA,NA,NA,NA,NA,NA,1682498158
Sai,Muhaimin,264160,264160@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,85.71,NA,NA,1682498158
Robecca,Leela,285603,285603@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Bing-Yea,Annie,294451,294451@university.ac.uk,40000000,College of Social Sciences,100,22.22,NA,NA,NA,NA,NA,NA,NA,1682498158
Lainey-Mai,Rafaella,268111,268111@university.ac.uk,40000000,College of Social Sciences,100,100,66.67,83.33,50,83.33,28.57,NA,NA,1682498158
Kerri-Ann,Christy,229352,229352@university.ac.uk,40000000,College of Social Sciences,100,100,NA,0,NA,NA,NA,57.14,NA,1682498158
Baker,Elliyah,240284,240284@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,33.33,100,100,83.33,83.33,0,NA,NA,1682498158
Sally,Eveline,265788,265788@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Nathanial,Morayo,242858,242858@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Tamsin,Grant,275294,275294@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,55.56,50,50,NA,NA,NA,NA,NA,1682498158
Adalyn,Marius,246757,246757@university.ac.uk,40000000,College of Social Sciences,100,100,NA,NA,NA,NA,NA,NA,NA,1682498158
Cassie,Ummu,279153,279153@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Anasuya,Daniils,244689,244689@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,NA,NA,NA,0,NA,NA,NA,NA,1682498158
Leotie,Ryan-James,256961,256961@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Remy,Safina,283738,283738@university.ac.uk,40000000,College of Social Sciences,77.78,0,0,NA,NA,NA,NA,NA,NA,1682498158
Abidha,Carina,269793,269793@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,88.89,66.67,50,NA,NA,NA,NA,NA,1682498158
Ruby-Mae,Harjot,217541,217541@university.ac.uk,40000000,College of Social Sciences,100,100,33.33,NA,NA,NA,NA,100,NA,1682498158
Anisa,Roni,258083,258083@university.ac.uk,40000000,College of Social Sciences,22.22,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Carman,Joanna,253588,253588@university.ac.uk,40000000,College of Social Sciences,100,11.11,NA,NA,NA,NA,NA,NA,NA,1682498158
Savannah-Rose,India,203406,203406@university.ac.uk,40000000,College of Social Sciences,100,100,100,NA,NA,NA,NA,NA,NA,1682498158
Tabussam,Onder,268198,268198@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,83.33,100,83.33,50,57.14,57.14,NA,1682498158
Nikolas,Uri,236710,236710@university.ac.uk,40000000,College of Social Sciences,100,55.56,66.67,NA,NA,NA,NA,NA,NA,1682498158
Byron,Kayla-Rae,217965,217965@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,83.33,50,83.33,71.43,71.43,100,1682498158
Tehillah,Alisa,235838,235838@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,88.89,83.33,100,66.67,66.67,NA,NA,NA,1682498158
Euin,Ariadne,255657,255657@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,66.67,66.67,57.14,28.57,NA,1682498158
Finnlay,Ellyana,245132,245132@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,83.33,83.33,50,83.33,NA,NA,25,1682498158
Olivia-Belle,Arish,282992,282992@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,83.33,66.67,42.86,71.43,87.5,1682498158
Ellice,Elisabeth,263977,263977@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,11.11,0,NA,NA,NA,NA,NA,NA,1682498158
Julio,Kayra,252514,252514@university.ac.uk,40000000,College of Social Sciences,44.44,77.78,33.33,NA,NA,33.33,NA,NA,NA,1682498158
Rohanna,Anand,283107,283107@university.ac.uk,40000000,College of Social Sciences,88.89,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Macie-Gray,Ruby-Jae,259647,259647@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Rigo,Faith-Louise,240609,240609@university.ac.uk,40000000,College of Social Sciences,88.89,11.11,NA,NA,NA,NA,NA,NA,NA,1682498158
Caiene,Jones,260078,260078@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Ramornie-Rose,Rhyanna,227518,227518@university.ac.uk,40000000,College of Social Sciences,100,100,83.33,NA,NA,NA,NA,NA,NA,1682498158
Darcy,Ophelia,243957,243957@university.ac.uk,40000000,College of Social Sciences,77.78,100,100,0,NA,NA,NA,NA,NA,1682498158
Cailyn,Emaan,298914,298914@university.ac.uk,40000000,College of Social Sciences,100,100,16.67,66.67,NA,NA,85.71,NA,NA,1682498158
Julie-Ann,Apryl,241020,241020@university.ac.uk,40000000,College of Social Sciences,100,11.11,NA,NA,NA,NA,NA,NA,NA,1682498158
Aaren,Elton,208336,208336@university.ac.uk,40000000,College of Social Sciences,88.89,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Caylan,Massa,246752,246752@university.ac.uk,40000000,College of Social Sciences,88.89,11.11,NA,NA,NA,NA,NA,NA,NA,1682498158
Alanha,Aksha,276027,276027@university.ac.uk,40000000,College of Social Sciences,33.33,NA,NA,NA,NA,33.33,NA,NA,NA,1682498158
Rhianne,Kezia,268869,268869@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,33.33,NA,NA,NA,NA,NA,NA,NA,1682498158
Iphigenia,Harland,250719,250719@university.ac.uk,40000000,College of Social Sciences,22.22,77.78,NA,NA,NA,NA,NA,NA,NA,1682498158
Per,Yassir,203769,203769@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Sergio,Aaren,297526,297526@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,55.56,50,NA,NA,NA,NA,NA,NA,1682498158
Zand,Khiana,229366,229366@university.ac.uk,40000000,College of Social Sciences,100,100,100,83.33,83.33,66.67,28.57,NA,NA,1682498158
Oliver,Efa,275822,275822@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,100,66.67,100,85.71,50,1682498158
Daly,Lorcan,254074,254074@university.ac.uk,40000000,College of Social Sciences,100,100,83.33,100,100,66.67,85.71,71.43,NA,1682498158
Tessy,Samia,201355,201355@university.ac.uk,40000000,College of Social Sciences,100,44.44,66.67,NA,NA,NA,NA,NA,NA,1682498158
Bernadette,Medi,246807,246807@university.ac.uk,20000000,College of Med Vet and Life Sciences,55.56,NA,NA,NA,NA,NA,NA,14.29,NA,1682498158
Manjaap,Eren,261033,261033@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,NA,NA,NA,1682498158
Caycie,Renwa,276314,276314@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Aarya,Cosmin,205950,205950@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Emma-Louise,Tillie-may,247593,247593@university.ac.uk,40000000,College of Social Sciences,100,0,83.33,NA,NA,NA,NA,NA,NA,1682498158
Kean,Marika,284595,284595@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Jenson,Martins,206483,206483@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,100,100,100,83.33,71.43,100,100,1682498158
Imre,Helena,212545,212545@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Deni,Nicolle,207140,207140@university.ac.uk,40000000,College of Social Sciences,100,100,50,100,NA,NA,85.71,NA,NA,1682498158
Purwinder,Ruby-Jane,259085,259085@university.ac.uk,40000000,College of Social Sciences,88.89,88.89,83.33,83.33,50,83.33,42.86,42.86,87.5,1682498158
Orelie,Kameron,238377,238377@university.ac.uk,40000000,College of Social Sciences,100,100,100,50,50,NA,NA,NA,NA,1682498158
Kerem,Amy-Jane,223238,223238@university.ac.uk,40000000,College of Social Sciences,100,77.78,NA,NA,NA,NA,NA,NA,NA,1682498158
Keeva,Sophie-Mae,291145,291145@university.ac.uk,40000000,College of Social Sciences,100,77.78,NA,NA,NA,NA,NA,NA,NA,1682498158
Drummond,Monisha,275328,275328@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,33.33,33.33,NA,NA,NA,NA,NA,NA,1682498158
Ou,Hammad,249920,249920@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Dani,Macsen,286214,286214@university.ac.uk,40000000,College of Social Sciences,100,88.89,83.33,83.33,83.33,83.33,0,NA,NA,1682498158
Holly-Rose,Walid,225025,225025@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,100,100,66.67,66.67,42.86,42.86,25,1682498158
Maaz,Inioluwa,248234,248234@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,88.89,NA,NA,NA,NA,NA,NA,NA,1682498158
Luna,Majd,292903,292903@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,83.33,100,100,100,100,100,NA,1682498158
Harriette,Lolita,278398,278398@university.ac.uk,40000000,College of Social Sciences,77.78,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Jayce,Damani,287229,287229@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Bobbi,Teilo,210234,210234@university.ac.uk,40000000,College of Social Sciences,88.89,88.89,50,83.33,83.33,83.33,NA,NA,NA,1682498158
Remany,Dillion,230840,230840@university.ac.uk,40000000,College of Social Sciences,66.67,22.22,33.33,NA,NA,NA,NA,NA,NA,1682498158
Lyle,Jeffery,215812,215812@university.ac.uk,40000000,College of Social Sciences,100,88.89,83.33,66.67,50,50,NA,NA,NA,1682498158
Aled,Maeva,228294,228294@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,85.71,100,87.5,1682498158
Dax,Katerina,209489,209489@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Arthur,Raela,210499,210499@university.ac.uk,40000000,College of Social Sciences,77.78,33.33,NA,NA,NA,NA,NA,NA,NA,1682498158
Rowland,Aloniab,248438,248438@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,NA,NA,16.67,NA,NA,NA,NA,NA,1682498158
Jennie-Lee,Soumaya,250771,250771@university.ac.uk,40000000,College of Social Sciences,88.89,100,100,100,100,100,100,100,100,1682498158
Victor,Hanson,269203,269203@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,83.33,66.67,57.14,85.71,37.5,1682498158
Ben,Polly,292124,292124@university.ac.uk,40000000,College of Social Sciences,100,100,83.33,66.67,NA,83.33,57.14,57.14,NA,1682498158
Habiba,Kruz,279475,279475@university.ac.uk,40000000,College of Social Sciences,11.11,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Peadar,Amani,298533,298533@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Klark,Ixia,254841,254841@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Apolo,Sanav,203182,203182@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,NA,NA,NA,1682498158
Sohaib,Sage,223013,223013@university.ac.uk,20000000,College of Med Vet and Life Sciences,0,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Carli,Abdullah,265725,265725@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,66.67,100,NA,NA,NA,1682498158
Dolores,Keona,237193,237193@university.ac.uk,40000000,College of Social Sciences,100,77.78,33.33,NA,NA,NA,NA,NA,NA,1682498158
Samia,Jardel,231737,231737@university.ac.uk,40000000,College of Social Sciences,100,88.89,83.33,83.33,50,16.67,57.14,42.86,0,1682498158
Christophe,Ciaran,281458,281458@university.ac.uk,40000000,College of Social Sciences,100,NA,66.67,NA,NA,NA,NA,NA,NA,1682498158
Abd,Shayne,282110,282110@university.ac.uk,40000000,College of Social Sciences,100,77.78,NA,NA,NA,NA,100,NA,NA,1682498158
Kaydee,Sai,213975,213975@university.ac.uk,40000000,College of Social Sciences,88.89,88.89,66.67,66.67,NA,16.67,NA,NA,NA,1682498158
Harriet,Faridah,233432,233432@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,37.5,1682498158
Meryl,Stirling,260517,260517@university.ac.uk,40000000,College of Social Sciences,100,100,50,33.33,NA,NA,NA,NA,NA,1682498158
Maisie,Brooklyn,294967,294967@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,NA,NA,NA,1682498158
Eimante,Innayah,271928,271928@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,16.67,NA,NA,NA,NA,1682498158
Asma,Mivaan,258364,258364@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,66.67,50,NA,NA,NA,NA,NA,1682498158
Kheo,Pawandeep,269918,269918@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Alia,Finbarr,271143,271143@university.ac.uk,40000000,College of Social Sciences,33.33,NA,16.67,NA,NA,NA,NA,NA,NA,1682498158
Teighan-Leigh,Kaira,203777,203777@university.ac.uk,40000000,College of Social Sciences,44.44,33.33,NA,NA,NA,NA,NA,NA,NA,1682498158
Sofia-Mae,Benjiman,225125,225125@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,77.78,66.67,83.33,NA,NA,NA,NA,NA,1682498158
Tess,Leigha,227327,227327@university.ac.uk,40000000,College of Social Sciences,77.78,0,NA,NA,NA,NA,NA,NA,NA,1682498158
Heather-Anne,Kourtney,279361,279361@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,66.67,66.67,57.14,42.86,62.5,1682498158
Shereena,Karsen,249170,249170@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,88.89,100,100,100,66.67,100,NA,NA,1682498158
Austen,Brynley,297560,297560@university.ac.uk,40000000,College of Social Sciences,77.78,0,NA,NA,NA,NA,NA,NA,NA,1682498158
Veronika,Brae,272541,272541@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Upkeerat,Eugene,256545,256545@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,NA,100,NA,NA,NA,NA,NA,NA,1682498158
Grant,Jonothan,262173,262173@university.ac.uk,40000000,College of Social Sciences,100,100,83.33,100,100,100,100,100,100,1682498158
Amilla,Braxson,267341,267341@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Inaaya,Rune,233717,233717@university.ac.uk,40000000,College of Social Sciences,100,100,100,83.33,NA,16.67,NA,NA,NA,1682498158
Monica,Rune,209644,209644@university.ac.uk,40000000,College of Social Sciences,NA,55.56,NA,NA,NA,NA,NA,NA,NA,1682498158
Chuk,Zsa,225332,225332@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Deryck,Renee,213374,213374@university.ac.uk,20000000,College of Med Vet and Life Sciences,44.44,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Sigurd,Chen,294766,294766@university.ac.uk,40000000,College of Social Sciences,88.89,77.78,66.67,83.33,50,16.67,NA,NA,NA,1682498158
Younis,Lewin,242709,242709@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Vishal,Daisie,262202,262202@university.ac.uk,40000000,College of Social Sciences,77.78,33.33,NA,NA,NA,NA,NA,NA,NA,1682498158
Zahir,Santa,236563,236563@university.ac.uk,40000000,College of Social Sciences,55.56,100,100,33.33,NA,NA,NA,NA,NA,1682498158
Aimal,Betsy-Lou,283962,283962@university.ac.uk,40000000,College of Social Sciences,100,88.89,83.33,50,NA,16.67,NA,NA,NA,1682498158
Syeda,Ottis,299779,299779@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Lorinda,Loui,238132,238132@university.ac.uk,40000000,College of Social Sciences,100,100,100,NA,NA,NA,NA,NA,NA,1682498158
Kylin,Ruben,210544,210544@university.ac.uk,40000000,College of Social Sciences,55.56,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
India,Boyd,289108,289108@university.ac.uk,20000000,College of Med Vet and Life Sciences,55.56,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Stefania,Ellea,255543,255543@university.ac.uk,40000000,College of Social Sciences,55.56,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Virika,Phillippa,293436,293436@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Macki,Alissia,236068,236068@university.ac.uk,40000000,College of Social Sciences,88.89,77.78,100,100,100,100,100,NA,NA,1682498158
Saja,Joao,273781,273781@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,88.89,66.67,66.67,50,33.33,NA,NA,NA,1682498158
Mubashar,Mika'il,206577,206577@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Celine,Harvie,231246,231246@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Anaaley,Devon,213227,213227@university.ac.uk,40000000,College of Social Sciences,100,100,NA,NA,NA,NA,NA,NA,NA,1682498158
Kausar,Severin,282890,282890@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,50,NA,NA,NA,1682498158
Ginny,Matej,240628,240628@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Nada,Rajab,269847,269847@university.ac.uk,40000000,College of Social Sciences,55.56,100,NA,NA,NA,NA,NA,NA,NA,1682498158
Samoel,Celia,250132,250132@university.ac.uk,40000000,College of Social Sciences,100,100,NA,NA,NA,NA,NA,NA,NA,1682498158
Avanthika,Harshiv,290027,290027@university.ac.uk,40000000,College of Social Sciences,100,44.44,NA,NA,NA,NA,NA,NA,NA,1682498158
Kaie-Lee,Rafaela,206882,206882@university.ac.uk,40000000,College of Social Sciences,NA,66.67,50,66.67,0,NA,NA,NA,NA,1682498158
Jaccob,Dona,202769,202769@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,83.33,66.67,42.86,57.14,NA,1682498158
Nicol,Conor,254885,254885@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Findley,Gerald,261220,261220@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Rhanna,Violet,217922,217922@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,55.56,NA,NA,NA,NA,NA,NA,NA,1682498158
Khatra,Shanaya,227271,227271@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,66.67,66.67,42.86,85.71,87.5,1682498158
Afiyah,Aarushi,219181,219181@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,0,NA,NA,NA,NA,1682498158
Praise,Alissa,209699,209699@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,83.33,85.71,100,100,1682498158
Emma-James,Nihal,266862,266862@university.ac.uk,40000000,College of Social Sciences,88.89,88.89,NA,NA,NA,NA,NA,NA,NA,1682498158
Ethan-James,Unays,210295,210295@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,100,100,100,83.33,100,100,87.5,1682498158
Steffi,Jayden-Lee,266572,266572@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,66.67,NA,NA,0,NA,NA,NA,NA,1682498158
Emelia-Lily,Cosimo,230062,230062@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,16.67,NA,NA,NA,NA,1682498158
Camryn,Jun,243050,243050@university.ac.uk,40000000,College of Social Sciences,100,11.11,NA,NA,NA,NA,NA,NA,NA,1682498158
Zein,Lynda,292858,292858@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,55.56,NA,NA,NA,NA,NA,NA,NA,1682498158
Lottie,Harley-Jayne,270557,270557@university.ac.uk,40000000,College of Social Sciences,100,100,66.67,50,NA,83.33,NA,NA,NA,1682498158
Talia-Rose,Halima,260696,260696@university.ac.uk,40000000,College of Social Sciences,100,77.78,NA,0,NA,NA,NA,NA,NA,1682498158
Andrea,Efraim,292889,292889@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,0,NA,33.33,NA,NA,NA,1682498158
Brendyn,Faatima,289218,289218@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,42.86,NA,1682498158
Harold,Abiola,259185,259185@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,NA,83.33,83.33,66.67,83.33,0,NA,NA,1682498158
Adetayo,Laasya,264433,264433@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Padraig,Muminah,291845,291845@university.ac.uk,40000000,College of Social Sciences,77.78,0,NA,33.33,NA,NA,NA,NA,NA,1682498158
Haylee,Erin,228165,228165@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,NA,NA,NA,50,NA,NA,NA,1682498158
Denny,Mahado,200042,200042@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Amylee,Anoop,205907,205907@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,100,100,NA,1682498158
Evelynne,Sruthi,284307,284307@university.ac.uk,40000000,College of Social Sciences,88.89,88.89,66.67,50,NA,83.33,NA,NA,NA,1682498158
