first_name,surname,id_number,email_address,institution,department,quiz_mcq_summative_assessment_real,quiz_mcq_summative_assessment_perc,last_downloaded_from_this_course
Jackilene,Gaja,239477,239477@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Reyyan,Eliab,299302,299302@university.ac.uk,40000000,College of Social Sciences,NA,NA,1686928245
Donatello,Erin-Rose,200635,200635@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Kate,Shahd,287574,287574@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928244
Hali,Sunny,278359,278359@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Stephanie,Dorsa,236764,236764@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Muireann,Domas,215419,215419@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Siddharth,Muzammil,279547,279547@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Chrystal,Olly-James,236202,236202@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Karra,Summa,268716,268716@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Frankie,Tzivia,272061,272061@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Bryan,Mariam,275224,275224@university.ac.uk,40000000,College of Social Sciences,22,100,1686928244
Maggi,Zubair,232246,232246@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Harnek,Jenan,292336,292336@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Rahmah,Celina,217335,217335@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Sai,Muhaimin,264160,264160@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928244
Robecca,Leela,285603,285603@university.ac.uk,40000000,College of Social Sciences,NA,NA,1686928244
Bing-Yea,Annie,294451,294451@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Lainey-Mai,Rafaella,268111,268111@university.ac.uk,40000000,College of Social Sciences,16,72.72727272727273,1686928245
Kerri-Ann,Christy,229352,229352@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Baker,Elliyah,240284,240284@university.ac.uk,20000000,College of Med Vet and Life Sciences,17,77.27272727272727,1686928245
Sally,Eveline,265788,265788@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Nathanial,Morayo,242858,242858@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Tamsin,Grant,275294,275294@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Adalyn,Marius,246757,246757@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Cassie,Ummu,279153,279153@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Anasuya,Daniils,244689,244689@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Leotie,Ryan-James,256961,256961@university.ac.uk,40000000,College of Social Sciences,22,100,1686928244
Remy,Safina,283738,283738@university.ac.uk,40000000,College of Social Sciences,13,59.09090909090909,1686928245
Abidha,Carina,269793,269793@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Ruby-Mae,Harjot,217541,217541@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Anisa,Roni,258083,258083@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Carman,Joanna,253588,253588@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Savannah-Rose,India,203406,203406@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Tabussam,Onder,268198,268198@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Nikolas,Uri,236710,236710@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Byron,Kayla-Rae,217965,217965@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Tehillah,Alisa,235838,235838@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Euin,Ariadne,255657,255657@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Finnlay,Ellyana,245132,245132@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Olivia-Belle,Arish,282992,282992@university.ac.uk,20000000,College of Med Vet and Life Sciences,18,81.81818181818183,1686928245
Ellice,Elisabeth,263977,263977@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Julio,Kayra,252514,252514@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Rohanna,Anand,283107,283107@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Macie-Gray,Ruby-Jae,259647,259647@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Rigo,Faith-Louise,240609,240609@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928244
Caiene,Jones,260078,260078@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Ramornie-Rose,Rhyanna,227518,227518@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Darcy,Ophelia,243957,243957@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Cailyn,Emaan,298914,298914@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928244
Julie-Ann,Apryl,241020,241020@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Aaren,Elton,208336,208336@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Caylan,Massa,246752,246752@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Alanha,Aksha,276027,276027@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Rhianne,Kezia,268869,268869@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Iphigenia,Harland,250719,250719@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Per,Yassir,203769,203769@university.ac.uk,20000000,College of Med Vet and Life Sciences,18,81.81818181818183,1686928245
Sergio,Aaren,297526,297526@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Zand,Khiana,229366,229366@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Oliver,Efa,275822,275822@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Daly,Lorcan,254074,254074@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Tessy,Samia,201355,201355@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Bernadette,Medi,246807,246807@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Manjaap,Eren,261033,261033@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Caycie,Renwa,276314,276314@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928244
Aarya,Cosmin,205950,205950@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Emma-Louise,Tillie-may,247593,247593@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Kean,Marika,284595,284595@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Jenson,Martins,206483,206483@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Imre,Helena,212545,212545@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Deni,Nicolle,207140,207140@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Purwinder,Ruby-Jane,259085,259085@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Orelie,Kameron,238377,238377@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Kerem,Amy-Jane,223238,223238@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Keeva,Sophie-Mae,291145,291145@university.ac.uk,40000000,College of Social Sciences,22,100,1686928244
Drummond,Monisha,275328,275328@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Ou,Hammad,249920,249920@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Dani,Macsen,286214,286214@university.ac.uk,40000000,College of Social Sciences,9,40.909090909090914,1686928245
Holly-Rose,Walid,225025,225025@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Maaz,Inioluwa,248234,248234@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Luna,Majd,292903,292903@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Harriette,Lolita,278398,278398@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Jayce,Damani,287229,287229@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Bobbi,Teilo,210234,210234@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Remany,Dillion,230840,230840@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Lyle,Jeffery,215812,215812@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Aled,Maeva,228294,228294@university.ac.uk,40000000,College of Social Sciences,16,72.72727272727273,1686928245
Dax,Katerina,209489,209489@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Arthur,Raela,210499,210499@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Rowland,Aloniab,248438,248438@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Jennie-Lee,Soumaya,250771,250771@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Victor,Hanson,269203,269203@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928244
Ben,Polly,292124,292124@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Habiba,Kruz,279475,279475@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Peadar,Amani,298533,298533@university.ac.uk,20000000,College of Med Vet and Life Sciences,22,100,1686928245
Klark,Ixia,254841,254841@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Apolo,Sanav,203182,203182@university.ac.uk,20000000,College of Med Vet and Life Sciences,22,100,1686928245
Sohaib,Sage,223013,223013@university.ac.uk,20000000,College of Med Vet and Life Sciences,18,81.81818181818183,1686928245
Carli,Abdullah,265725,265725@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Dolores,Keona,237193,237193@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Samia,Jardel,231737,231737@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Christophe,Ciaran,281458,281458@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Abd,Shayne,282110,282110@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Kaydee,Sai,213975,213975@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Harriet,Faridah,233432,233432@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Meryl,Stirling,260517,260517@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Maisie,Brooklyn,294967,294967@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Eimante,Innayah,271928,271928@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928244
Asma,Mivaan,258364,258364@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Kheo,Pawandeep,269918,269918@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928244
Alia,Finbarr,271143,271143@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Teighan-Leigh,Kaira,203777,203777@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Sofia-Mae,Benjiman,225125,225125@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Tess,Leigha,227327,227327@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Heather-Anne,Kourtney,279361,279361@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Shereena,Karsen,249170,249170@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Austen,Brynley,297560,297560@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Veronika,Brae,272541,272541@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Upkeerat,Eugene,256545,256545@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Grant,Jonothan,262173,262173@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928244
Amilla,Braxson,267341,267341@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Inaaya,Rune,233717,233717@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Monica,Rune,209644,209644@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Chuk,Zsa,225332,225332@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Deryck,Renee,213374,213374@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Sigurd,Chen,294766,294766@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Younis,Lewin,242709,242709@university.ac.uk,40000000,College of Social Sciences,15,68.18181818181817,1686928245
Vishal,Daisie,262202,262202@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Zahir,Santa,236563,236563@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Aimal,Betsy-Lou,283962,283962@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Syeda,Ottis,299779,299779@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Lorinda,Loui,238132,238132@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Kylin,Ruben,210544,210544@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
India,Boyd,289108,289108@university.ac.uk,40000000,College of Social Sciences,22,100,1686928244
Stefania,Ellea,255543,255543@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Virika,Phillippa,293436,293436@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Macki,Alissia,236068,236068@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Saja,Joao,273781,273781@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Mubashar,Mika'il,206577,206577@university.ac.uk,20000000,College of Med Vet and Life Sciences,17,77.27272727272727,1686928245
Celine,Harvie,231246,231246@university.ac.uk,40000000,College of Social Sciences,NA,NA,1686928245
Anaaley,Devon,213227,213227@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Kausar,Severin,282890,282890@university.ac.uk,20000000,College of Med Vet and Life Sciences,18,81.81818181818183,1686928245
Ginny,Matej,240628,240628@university.ac.uk,40000000,College of Social Sciences,13,59.09090909090909,1686928245
Nada,Rajab,269847,269847@university.ac.uk,40000000,College of Social Sciences,22,100,1686928244
Samoel,Celia,250132,250132@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Avanthika,Harshiv,290027,290027@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Kaie-Lee,Rafaela,206882,206882@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Jaccob,Dona,202769,202769@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Nicol,Conor,254885,254885@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Findley,Gerald,261220,261220@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928244
Rhanna,Violet,217922,217922@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Khatra,Shanaya,227271,227271@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928244
Afiyah,Aarushi,219181,219181@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Praise,Alissa,209699,209699@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Emma-James,Nihal,266862,266862@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Ethan-James,Unays,210295,210295@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Steffi,Jayden-Lee,266572,266572@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Emelia-Lily,Cosimo,230062,230062@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Camryn,Jun,243050,243050@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Zein,Lynda,292858,292858@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Lottie,Harley-Jayne,270557,270557@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Talia-Rose,Halima,260696,260696@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928244
Andrea,Efraim,292889,292889@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Brendyn,Faatima,289218,289218@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Harold,Abiola,259185,259185@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Adetayo,Laasya,264433,264433@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Padraig,Muminah,291845,291845@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Haylee,Erin,228165,228165@university.ac.uk,20000000,College of Med Vet and Life Sciences,17,77.27272727272727,1686928245
Denny,Mahado,200042,200042@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Amylee,Anoop,205907,205907@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Evelynne,Sruthi,284307,284307@university.ac.uk,20000000,College of Med Vet and Life Sciences,18,81.81818181818183,1686928245
Mahreen,Fidel,217341,217341@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Yusuf,Jesi,229662,229662@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Shyloh,Attila,226638,226638@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Roslyn,Romaysa,229780,229780@university.ac.uk,40000000,College of Social Sciences,16,72.72727272727273,1686928245
Zerqa,Zarak,216807,216807@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Iden,Naseem,246802,246802@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Alta,Donny,272353,272353@university.ac.uk,40000000,College of Social Sciences,15,68.18181818181817,1686928245
Amarah,Ardian,284113,284113@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Khizer,Elyes,228256,228256@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Gurpreet,Zubaida,272423,272423@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Rosa-Leigh,Sinai,215681,215681@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Mikhaila,Amirah,218383,218383@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Sorcha,Neo,276910,276910@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Callan,Tatenda,286265,286265@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Alisia,Emircan,291092,291092@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Monika,Baran,241216,241216@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Ruben,Aleyna,255352,255352@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Joshua-Lucas,Rylie,218274,218274@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Lucee,Yoanna,256320,256320@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Orville,Dylan-James,250006,250006@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Alaa,Mikaal,251618,251618@university.ac.uk,40000000,College of Social Sciences,15,68.18181818181817,1686928245
Mirza,Hossein,255080,255080@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Muhammad,Karam,271590,271590@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Ernesto,Keelie,218702,218702@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Laurie,Elke,254502,254502@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Nikaela,Aislin,213356,213356@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Donna-Marie,Courtney-Louise,273498,273498@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Senga,Attila,218651,218651@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Rowan,Athena,247444,247444@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928244
Richy,Ray,270148,270148@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928244
Jordane,Sydni,214991,214991@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Nyah,Harleigh,245248,245248@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Aabeer,Raman,257295,257295@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Humphrey,Ishtiaq,278531,278531@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Arron,Nuwair,260174,260174@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Abdula,Latoyah,245182,245182@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Arlo-Jax,Tilly-Rae,225200,225200@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Oluwasemilore,Fernando,279909,279909@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Syana,Lourdes,250213,250213@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Hadiya,Leana,223882,223882@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Swati,Brandan,236659,236659@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Jotvingis,Tianna-Rose,270600,270600@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Sujata,Aironas,250849,250849@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Raphaelle,Mason-Jay,202611,202611@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928244
Gabriel,Scott,251541,251541@university.ac.uk,20000000,College of Med Vet and Life Sciences,20,90.9090909090909,1686928245
Kennzi,Tarun,278152,278152@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Morvern,Mukhtar,206163,206163@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Sanan,Edric,283984,283984@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Alfred,Adanna,223180,223180@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Muqaddam,Holly-Mae,233820,233820@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Estelle,Jacob-George,290634,290634@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Trent,Jordan-Lee,224771,224771@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928244
Rhuaraidh,Jesse,222975,222975@university.ac.uk,40000000,College of Social Sciences,16,72.72727272727273,1686928245
